class	typeFreq	Active	Passive	Reflexive	Reciprocal	Causative
2	1	ELICIT	ELICIT	ELICIT	ELICIT	ELICIT
3	1	l	NULL	NULL	NULL	t
4	23	n	NULL	NULL	NULL	ndVr
5	2	n	NULL	NULL	NULL	NULL
6	6	n	NULL	NULL	NULL	t
7	3	n	NULL	NULL	NULL	wdVr
8	2	n	NULL	NULL	nVw	t
9	3	n	NULL	NULL	w	ndVr
10	2	n	NULL	NULL	w	t
11	1	n	NULL	NULL	w	wdVr
12	1	n	nVl	NULL	NULL	t
13	1	n	nVl	NULL	nVw	t
14	1	n	nVl	NULL	nVw	wdVr
15	2	n	nVl	NULL	w	t
16	1	n	nVl	NULL	w	wdVr
17	1	ndVr	n	NULL	w	NULL
18	3	NULL	NULL	NULL	NULL	ndVr
19	2	NULL	NULL	NULL	NULL	wdVr
20	1	¯	ELICIT	NULL	NULL	dVr
21	1	¯	l	NULL	NULL	t
22	1	¯	n	n	NULL	NULL
23	2	¯	n	n	NULL	t
24	2	¯	n	n	w	t
25	7	¯	n	NULL	NULL	ndVr
26	10	¯	n	NULL	NULL	NULL
27	26	¯	n	NULL	NULL	t
28	1	¯	n	NULL	NULL	tdVr
29	2	¯	n	NULL	w	ndVr
30	1	¯	n	NULL	w	NULL
31	14	¯	n	NULL	w	t
32	8	¯	n	NULL	w	wdVr
33	2	¯	n	nVl	NULL	t
34	4	¯	NULL	n	NULL	ndVr
35	1	¯	NULL	n	NULL	NULL
36	6	¯	NULL	n	NULL	t
37	1	¯	NULL	n	NULL	wdVr
38	2	¯	NULL	n	w	ndVr
39	2	¯	NULL	n	w	t
40	1	¯	NULL	n	w	wdVr
41	1	¯	NULL	NULL	NULL	Ar
42	1	¯	NULL	NULL	NULL	dAr
43	18	¯	NULL	NULL	NULL	dVr
44	1	¯	NULL	NULL	NULL	ndVr
45	13	¯	NULL	NULL	NULL	NULL
46	1	¯	NULL	NULL	NULL	¯
47	23	¯	NULL	NULL	NULL	t
48	9	¯	NULL	NULL	NULL	Vr
49	2	¯	NULL	NULL	NULL	Vt
50	1	¯	NULL	NULL	NULL	VwdVr
51	1	¯	NULL	NULL	NULL	Vz
52	1	¯	NULL	NULL	NULL	wdVr
53	7	¯	NULL	NULL	Vw	dVr
54	3	¯	NULL	NULL	Vw	Vr
55	1	¯	NULL	NULL	Vw	Vt
56	1	¯	NULL	NULL	Vw	Vz
57	1	¯	NULL	NULL	Vw	VzdVr
58	2	¯	NULL	NULL	w	t
59	1	¯	NULL	Vn	NULL	¯
60	3	¯	NULL	Vn	Vw	dVr
61	1	¯	NULL	Vx	NULL	7Vz
62	3	¯	NULL	Vx	NULL	dVr
63	1	¯	NULL	Vx	NULL	Vr
64	1	¯	NULL	Vx	NULL	VzdVr
65	1	¯	NULL	Vx	Vw	dVr
66	1	¯	NULL	Vx	Vw	VxdVr
67	2	¯	nVl	n	w	t
68	2	¯	nVl	NULL	NULL	NULL
69	8	¯	nVl	NULL	NULL	t
70	2	¯	nVl	NULL	w	t
71	1	¯	uNULL	NULL	Vw	Ar
72	1	¯	Vk	Vn	Vw	sAt
73	1	¯	Vk	Vn	Vw	stAr
74	38	¯	Vl	NULL	NULL	dVr
75	1	¯	Vl	NULL	NULL	ELICIT
76	8	¯	Vl	NULL	NULL	NULL
77	5	¯	Vl	NULL	NULL	t
78	4	¯	Vl	NULL	NULL	Vr
79	1	¯	Vl	NULL	NULL	Vt
80	1	¯	Vl	NULL	NULL	VwdVr
81	1	¯	Vl	NULL	NULL	Vz
82	2	¯	Vl	NULL	NULL	VzdVr
83	12	¯	Vl	NULL	Vw	dVr
84	3	¯	Vl	NULL	Vw	t
85	1	¯	Vl	NULL	Vw	Vr
86	1	¯	Vl	NULL	Vw	Vt
87	1	¯	Vl	NULL	Vw	VzdVr
88	1	¯	Vl	nVx	Vw	dVr
89	1	¯	Vl	Vl	Aw	dVr
90	1	¯	Vl	Vl	Aw	IzdIr
91	5	¯	Vl	Vl	NULL	dVr
92	1	¯	Vl	Vl	NULL	t
93	1	¯	Vl	Vl	NULL	Vr
94	10	¯	Vl	Vl	Vw	dVr
95	1	¯	Vl	Vl	Vw	IzdIr
96	2	¯	Vl	Vn	NULL	dVr
97	1	¯	Vl	Vn	NULL	Vr
98	6	¯	Vl	Vn	Vw	dVr
99	1	¯	Vl	Vn	Vw	sAt
100	1	¯	Vl	Vn	Vw	stAr
101	1	¯	Vl	Vn	Vw	Vr
102	2	¯	Vl	Vx	Vw	dVr
103	1	¯	Vl	Vx	Vw	VwdVrt
104	1	¯	Vl	Vx	Vw	Vz
105	1	¯	Vl	Vx	Vw	VzdVr
106	5	¯	Vn	NULL	NULL	dVr
107	1	¯	Vn	NULL	NULL	l>¯; tir
108	1	¯	Vn	NULL	NULL	NULL
109	1	¯	Vn	NULL	NULL	Vt
110	1	¯	Vn	NULL	Vw	dVr
111	1	¯	Vn	NULL	Vw	VwdVr
112	1	¯	Vn	Vn	Vw	dVr
113	1	¯	VnVl	NULL	NULL	dVr
114	1	¯	wVl	NULL	w	t
115	1	¯	yVl	NULL	yVw	dVzdVr
116	1	¯	yVl	yVn	NULL	dVr
117	1	¯	yVl	yVn	yVw	dVr
118	1	¯	yVl	yVn	yVw	dVz
119	1	Vr	NULL	rVl	NULL	NULL
120	1	Vr	NULL	rVl	NULL	Vrt
121	1	Vr	rVl	NULL	NULL	Vrt
122	1	Vr	VrVl	NULL	NULL	VzdVr
123	1	Vt	NULL	NULL	NULL	tAr
124	1	Vw	NULL	NULL	NULL	dVr
125	1	Vw	NULL	NULL	NULL	VwdVr
126	1	VwdVr	Vl	Vx	Vw	dVr
127	1	VwdVr	Vl	Vx	Vw	VwdVrt
128	1	w	n	NULL	NULL	ndVr
129	1	w	n	NULL	NULL	t
130	1	w	NULL	n	NULL	ndVr
131	1	w	NULL	n	NULL	t
132	3	w	NULL	n	NULL	wdVr
133	1	w	NULL	NULL	NULL	dVr
134	1	w	NULL	NULL	NULL	ELICIT
135	4	w	NULL	NULL	NULL	ndVr
136	2	w	NULL	NULL	NULL	NULL
137	1	w	NULL	NULL	NULL	t
138	39	w	NULL	NULL	NULL	wdVr
139	1	wdVr	n	NULL	w	NULL
140	1	wdVr	Vl	NULL	NULL	NULL
141	1	x	NULL	NULL	xVw	dVr
