class	typeFreq	Active	Passive	Reflexive	Reciprocal	Causative
180	1	Ø	ük	ün	ü?	s?t
181	1	Ø	ük	ün	ü?	st?r
182	2	Ø	ül	NULL	NULL	NULL
183	4	Ø	ül	NULL	NULL	dür
184	1	Ø	ül	NULL	NULL	ü?dür
185	2	Ø	ül	NULL	ü?	dür
186	2	Ø	ül	ül	NULL	dür
187	1	Ø	ül	ül	NULL	t
191	1	Ø	ül	ün	ü?	giz
192	1	Ø	ül	ün	ü?	s?t
193	1	Ø	ül	ün	ü?	st?r
200	1	ıt	NULL	NULL	NULL	tAr
